S.No.,Student Name,Roll Number,Email,Department,Subject,Subject Code,Date,Status,Verification Method,Face Confidence,Marked At
342,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,1/6/2026,PRESENT,face,0.8457,1/6/2026, 10:01:40 am
343,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,1/6/2026,PRESENT,face,0.9155,1/6/2026, 10:02:41 am
344,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,1/6/2026,PRESENT,face,0.9209,1/6/2026, 10:01:59 am
345,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,1/6/2026,ABSENT,manual,N/A,1/6/2026, 10:03:09 am
346,"Raj Sharma",ME2023043,"student43@local.com","Mechanical Engineering","Fluid Mechanics",ME302,29/5/2026,PRESENT,face,0.9481,29/5/2026, 12:00:31 pm
347,"Tanya Sharma",IT2023099,"student99@local.com","Information Technology","Cloud Computing",IT302,29/5/2026,PRESENT,face,0.7813,29/5/2026, 9:00:55 am
348,"Simran Sharma",IT2023098,"student98@local.com","Information Technology","Cloud Computing",IT302,29/5/2026,PRESENT,face,0.9056,29/5/2026, 9:04:41 am
349,"Ojaswi Sharma",IT2023095,"student95@local.com","Information Technology","Cloud Computing",IT302,29/5/2026,PRESENT,face,0.8175,29/5/2026, 9:00:43 am
350,"Naina Sharma",IT2023094,"student94@local.com","Information Technology","Cloud Computing",IT302,29/5/2026,LATE,face,0.7535,29/5/2026, 9:23:11 am
351,"Khushi Sharma",IT2023091,"student91@local.com","Information Technology","Cloud Computing",IT302,29/5/2026,PRESENT,face,0.8376,29/5/2026, 9:00:48 am
352,"Zain Sharma",IT2023090,"student90@local.com","Information Technology","Cloud Computing",IT302,29/5/2026,PRESENT,face,0.9692,29/5/2026, 9:03:29 am
353,"Sneha Sharma",ME2023051,"student51@local.com","Mechanical Engineering","Fluid Mechanics",ME302,29/5/2026,PRESENT,face,0.7686,29/5/2026, 12:03:47 pm
354,"Sahil Sharma",IT2023086,"student86@local.com","Information Technology","Cloud Computing",IT302,29/5/2026,PRESENT,face,0.7663,29/5/2026, 9:00:02 am
355,"Om Sharma",IT2023083,"student83@local.com","Information Technology","Cloud Computing",IT302,29/5/2026,PRESENT,face,0.8064,29/5/2026, 9:03:00 am
356,"Meera Sharma",ME2023059,"student59@local.com","Mechanical Engineering","Fluid Mechanics",ME302,29/5/2026,PRESENT,face,0.7729,29/5/2026, 12:00:53 pm
357,"Siddhi Sharma",ME2023058,"student58@local.com","Mechanical Engineering","Fluid Mechanics",ME302,29/5/2026,PRESENT,face,0.9302,29/5/2026, 12:04:15 pm
358,"Shruti Sharma",ME2023055,"student55@local.com","Mechanical Engineering","Fluid Mechanics",ME302,29/5/2026,PRESENT,face,0.7937,29/5/2026, 12:03:32 pm
359,"Priya Sharma",ME2023054,"student54@local.com","Mechanical Engineering","Fluid Mechanics",ME302,29/5/2026,PRESENT,face,0.9642,29/5/2026, 12:01:54 pm
360,"Nakul Sharma",IT2023082,"student82@local.com","Information Technology","Cloud Computing",IT302,29/5/2026,PRESENT,face,0.8505,29/5/2026, 9:04:17 am
361,"Amit Sharma",ME2023050,"student50@local.com","Mechanical Engineering","Fluid Mechanics",ME302,29/5/2026,PRESENT,face,0.9185,29/5/2026, 12:04:45 pm
362,"Yash Sharma",ME2023047,"student47@local.com","Mechanical Engineering","Fluid Mechanics",ME302,29/5/2026,LATE,face,0.7569,29/5/2026, 12:22:59 pm
363,"Varun Sharma",ME2023046,"student46@local.com","Mechanical Engineering","Fluid Mechanics",ME302,29/5/2026,PRESENT,face,0.9323,29/5/2026, 12:04:08 pm
364,"Tejas Sharma",IT2023087,"student87@local.com","Information Technology","Cloud Computing",IT302,29/5/2026,PRESENT,face,0.8392,29/5/2026, 9:04:49 am
365,"Karan Sharma",ME2023042,"student42@local.com","Mechanical Engineering","Fluid Mechanics",ME302,29/5/2026,ABSENT,manual,N/A,29/5/2026, 12:04:40 pm
366,"Tanya Sharma",IT2023099,"student99@local.com","Information Technology","Software Engineering",IT301,29/5/2026,PRESENT,face,0.8082,29/5/2026, 2:02:56 pm
367,"Simran Sharma",IT2023098,"student98@local.com","Information Technology","Software Engineering",IT301,29/5/2026,PRESENT,face,0.9642,29/5/2026, 2:03:07 pm
368,"Ojaswi Sharma",IT2023095,"student95@local.com","Information Technology","Software Engineering",IT301,29/5/2026,PRESENT,face,0.8622,29/5/2026, 2:04:10 pm
369,"Naina Sharma",IT2023094,"student94@local.com","Information Technology","Software Engineering",IT301,29/5/2026,PRESENT,face,0.8184,29/5/2026, 2:02:26 pm
370,"Khushi Sharma",IT2023091,"student91@local.com","Information Technology","Software Engineering",IT301,29/5/2026,PRESENT,face,0.8793,29/5/2026, 2:03:04 pm
371,"Zain Sharma",IT2023090,"student90@local.com","Information Technology","Software Engineering",IT301,29/5/2026,ABSENT,manual,N/A,29/5/2026, 2:00:31 pm
372,"Tejas Sharma",IT2023087,"student87@local.com","Information Technology","Software Engineering",IT301,29/5/2026,PRESENT,face,0.9864,29/5/2026, 2:00:12 pm
373,"Sahil Sharma",IT2023086,"student86@local.com","Information Technology","Software Engineering",IT301,29/5/2026,ABSENT,manual,N/A,29/5/2026, 2:02:06 pm
374,"Om Sharma",IT2023083,"student83@local.com","Information Technology","Software Engineering",IT301,29/5/2026,LATE,face,0.9863,29/5/2026, 2:20:05 pm
375,"Nakul Sharma",IT2023082,"student82@local.com","Information Technology","Software Engineering",IT301,29/5/2026,PRESENT,face,0.8132,29/5/2026, 2:03:00 pm
376,"Tanya Sharma",IT2023099,"student99@local.com","Information Technology","Software Engineering",IT301,28/5/2026,ABSENT,manual,N/A,28/5/2026, 10:03:41 am
377,"Simran Sharma",IT2023098,"student98@local.com","Information Technology","Software Engineering",IT301,28/5/2026,ABSENT,manual,N/A,28/5/2026, 10:04:42 am
378,"Ojaswi Sharma",IT2023095,"student95@local.com","Information Technology","Software Engineering",IT301,28/5/2026,PRESENT,face,0.7903,28/5/2026, 10:03:49 am
379,"Naina Sharma",IT2023094,"student94@local.com","Information Technology","Software Engineering",IT301,28/5/2026,LATE,face,0.8113,28/5/2026, 10:23:53 am
380,"Khushi Sharma",IT2023091,"student91@local.com","Information Technology","Software Engineering",IT301,28/5/2026,ABSENT,manual,N/A,28/5/2026, 10:02:48 am
381,"Zain Sharma",IT2023090,"student90@local.com","Information Technology","Software Engineering",IT301,28/5/2026,PRESENT,face,0.8953,28/5/2026, 10:04:46 am
382,"Sahil Sharma",IT2023086,"student86@local.com","Information Technology","Software Engineering",IT301,28/5/2026,LATE,face,0.9391,28/5/2026, 10:15:16 am
383,"Om Sharma",IT2023083,"student83@local.com","Information Technology","Software Engineering",IT301,28/5/2026,LATE,face,0.7965,28/5/2026, 10:23:32 am
384,"Tejas Sharma",IT2023087,"student87@local.com","Information Technology","Software Engineering",IT301,28/5/2026,PRESENT,face,0.9442,28/5/2026, 10:01:54 am
385,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.7965,28/5/2026, 1:03:11 pm
386,"Nakul Sharma",IT2023082,"student82@local.com","Information Technology","Software Engineering",IT301,28/5/2026,PRESENT,face,0.7748,28/5/2026, 10:00:20 am
387,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.9105,28/5/2026, 1:02:34 pm
388,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.8970,28/5/2026, 1:04:14 pm
389,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.8168,28/5/2026, 1:04:14 pm
390,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.7911,28/5/2026, 1:02:17 pm
391,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.9869,28/5/2026, 1:04:43 pm
392,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,ABSENT,manual,N/A,28/5/2026, 1:01:56 pm
393,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.9753,28/5/2026, 1:01:41 pm
394,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,ABSENT,manual,N/A,28/5/2026, 1:01:56 pm
395,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/5/2026,PRESENT,face,0.8211,28/5/2026, 1:00:04 pm
396,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.9801,28/5/2026, 2:00:48 pm
397,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.9342,28/5/2026, 2:03:03 pm
398,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.7696,28/5/2026, 2:04:01 pm
399,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,LATE,face,0.9169,28/5/2026, 2:16:42 pm
400,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.9686,28/5/2026, 2:04:11 pm
401,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.9227,28/5/2026, 2:03:44 pm
402,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.9841,28/5/2026, 2:04:36 pm
403,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,LATE,face,0.9116,28/5/2026, 2:17:31 pm
404,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.8903,28/5/2026, 2:00:38 pm
405,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,28/5/2026,PRESENT,face,0.8193,28/5/2026, 2:01:12 pm
406,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/5/2026,PRESENT,face,0.8037,27/5/2026, 12:03:33 pm
407,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/5/2026,LATE,face,0.7849,27/5/2026, 12:18:43 pm
408,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/5/2026,PRESENT,face,0.8707,27/5/2026, 12:02:44 pm
409,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/5/2026,PRESENT,face,0.9192,27/5/2026, 12:03:44 pm
410,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/5/2026,PRESENT,face,0.9178,27/5/2026, 12:01:18 pm
411,"Trisha Sharma",CE2023073,"student73@local.com","Civil Engineering","Structural Analysis",CE201,27/5/2026,PRESENT,face,0.8817,27/5/2026, 12:02:36 pm
412,"Rudra Sharma",CE2023069,"student69@local.com","Civil Engineering","Structural Analysis",CE201,27/5/2026,PRESENT,face,0.7970,27/5/2026, 12:01:13 pm
413,"Darsh Sharma",CE2023065,"student65@local.com","Civil Engineering","Structural Analysis",CE201,27/5/2026,LATE,face,0.7817,27/5/2026, 12:19:01 pm
414,"Harsh Sharma",CE2023061,"student61@local.com","Civil Engineering","Structural Analysis",CE201,27/5/2026,ABSENT,manual,N/A,27/5/2026, 12:02:33 pm
415,"Divya Sharma",CE2023077,"student77@local.com","Civil Engineering","Structural Analysis",CE201,27/5/2026,LATE,face,0.9841,27/5/2026, 12:20:25 pm
416,"Riddhi Sharma",ME2023057,"student57@local.com","Mechanical Engineering","Engineering Mechanics",ME201,27/5/2026,LATE,face,0.9238,27/5/2026, 2:24:58 pm
417,"Neha Sharma",ME2023053,"student53@local.com","Mechanical Engineering","Engineering Mechanics",ME201,27/5/2026,ABSENT,manual,N/A,27/5/2026, 2:02:13 pm
418,"Rahul Sharma",ME2023049,"student49@local.com","Mechanical Engineering","Engineering Mechanics",ME201,27/5/2026,ABSENT,manual,N/A,27/5/2026, 2:01:06 pm
419,"Aryan Sharma",ME2023045,"student45@local.com","Mechanical Engineering","Engineering Mechanics",ME201,27/5/2026,PRESENT,face,0.7736,27/5/2026, 2:00:04 pm
420,"Rohan Sharma",ME2023041,"student41@local.com","Mechanical Engineering","Engineering Mechanics",ME201,27/5/2026,LATE,face,0.7707,27/5/2026, 2:20:10 pm
421,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/5/2026,PRESENT,face,0.8922,26/5/2026, 10:02:29 am
422,"Gauri Sharma",CE2023079,"student79@local.com","Civil Engineering","Geotechnical Engineering",CE301,26/5/2026,PRESENT,face,0.9004,26/5/2026, 1:04:03 pm
423,"Eshani Sharma",CE2023078,"student78@local.com","Civil Engineering","Geotechnical Engineering",CE301,26/5/2026,PRESENT,face,0.9301,26/5/2026, 1:01:33 pm
424,"Bhavya Sharma",CE2023075,"student75@local.com","Civil Engineering","Geotechnical Engineering",CE301,26/5/2026,PRESENT,face,0.8299,26/5/2026, 1:03:39 pm
425,"Anika Sharma",CE2023074,"student74@local.com","Civil Engineering","Geotechnical Engineering",CE301,26/5/2026,PRESENT,face,0.8222,26/5/2026, 1:03:47 pm
426,"Nandini Sharma",CE2023071,"student71@local.com","Civil Engineering","Geotechnical Engineering",CE301,26/5/2026,PRESENT,face,0.9681,26/5/2026, 1:03:59 pm
427,"Shivansh Sharma",CE2023070,"student70@local.com","Civil Engineering","Geotechnical Engineering",CE301,26/5/2026,PRESENT,face,0.7824,26/5/2026, 1:00:59 pm
428,"Arnav Sharma",CE2023067,"student67@local.com","Civil Engineering","Geotechnical Engineering",CE301,26/5/2026,PRESENT,face,0.8170,26/5/2026, 1:02:20 pm
429,"Krish Sharma",CE2023066,"student66@local.com","Civil Engineering","Geotechnical Engineering",CE301,26/5/2026,ABSENT,manual,N/A,26/5/2026, 1:04:04 pm
430,"Mihir Sharma",CE2023063,"student63@local.com","Civil Engineering","Geotechnical Engineering",CE301,26/5/2026,PRESENT,face,0.9661,26/5/2026, 1:01:44 pm
431,"Jiya Sharma",CE2023080,"student80@local.com","Civil Engineering","Environmental Engineering",CE401,26/5/2026,PRESENT,face,0.7931,26/5/2026, 10:00:49 am
432,"Charvi Sharma",CE2023076,"student76@local.com","Civil Engineering","Environmental Engineering",CE401,26/5/2026,LATE,face,0.8092,26/5/2026, 10:21:00 am
433,"Sakshi Sharma",CE2023072,"student72@local.com","Civil Engineering","Environmental Engineering",CE401,26/5/2026,ABSENT,manual,N/A,26/5/2026, 10:01:19 am
434,"Laksh Sharma",CE2023068,"student68@local.com","Civil Engineering","Environmental Engineering",CE401,26/5/2026,PRESENT,face,0.8263,26/5/2026, 10:03:57 am
435,"Chirag Sharma",CE2023064,"student64@local.com","Civil Engineering","Environmental Engineering",CE401,26/5/2026,PRESENT,face,0.9174,26/5/2026, 10:03:55 am
436,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/5/2026,PRESENT,face,0.7554,26/5/2026, 10:01:59 am
437,"Parth Sharma",CE2023062,"student62@local.com","Civil Engineering","Geotechnical Engineering",CE301,26/5/2026,PRESENT,face,0.9541,26/5/2026, 1:02:14 pm
438,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/5/2026,PRESENT,face,0.7508,26/5/2026, 10:02:02 am
439,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/5/2026,LATE,face,0.8123,26/5/2026, 10:17:45 am
440,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/5/2026,PRESENT,face,0.9146,26/5/2026, 10:01:29 am
441,"Diya Sharma",ECE2023022,"student22@local.com","Electronics & Communication","Signals & Systems",ECE301,25/5/2026,ABSENT,manual,N/A,25/5/2026, 12:02:53 pm
442,"Myra Sharma",ECE2023023,"student23@local.com","Electronics & Communication","Signals & Systems",ECE301,25/5/2026,PRESENT,face,0.9728,25/5/2026, 12:04:34 pm
443,"Aadhya Sharma",ECE2023026,"student26@local.com","Electronics & Communication","Signals & Systems",ECE301,25/5/2026,PRESENT,face,0.8776,25/5/2026, 12:01:33 pm
444,"Aarohi Sharma",ECE2023027,"student27@local.com","Electronics & Communication","Signals & Systems",ECE301,25/5/2026,PRESENT,face,0.8613,25/5/2026, 12:01:17 pm
445,"Riya Sharma",ECE2023030,"student30@local.com","Electronics & Communication","Signals & Systems",ECE301,25/5/2026,PRESENT,face,0.9334,25/5/2026, 12:01:58 pm
446,"Aisha Sharma",ECE2023031,"student31@local.com","Electronics & Communication","Signals & Systems",ECE301,25/5/2026,LATE,face,0.7741,25/5/2026, 12:21:27 pm
447,"Kiara Sharma",ECE2023034,"student34@local.com","Electronics & Communication","Signals & Systems",ECE301,25/5/2026,PRESENT,face,0.9092,25/5/2026, 12:01:54 pm
448,"Kavya Sharma",ECE2023039,"student39@local.com","Electronics & Communication","Signals & Systems",ECE301,25/5/2026,PRESENT,face,0.9880,25/5/2026, 12:04:36 pm
449,"Mahi Sharma",ECE2023035,"student35@local.com","Electronics & Communication","Signals & Systems",ECE301,25/5/2026,PRESENT,face,0.7577,25/5/2026, 12:04:24 pm
450,"Pihu Sharma",ECE2023038,"student38@local.com","Electronics & Communication","Signals & Systems",ECE301,25/5/2026,PRESENT,face,0.9265,25/5/2026, 12:00:28 pm
451,"Jiya Sharma",CE2023080,"student80@local.com","Civil Engineering","Environmental Engineering",CE401,25/5/2026,PRESENT,face,0.7565,25/5/2026, 9:03:36 am
452,"Charvi Sharma",CE2023076,"student76@local.com","Civil Engineering","Environmental Engineering",CE401,25/5/2026,PRESENT,face,0.9358,25/5/2026, 9:03:23 am
453,"Sakshi Sharma",CE2023072,"student72@local.com","Civil Engineering","Environmental Engineering",CE401,25/5/2026,PRESENT,face,0.8198,25/5/2026, 9:00:39 am
454,"Laksh Sharma",CE2023068,"student68@local.com","Civil Engineering","Environmental Engineering",CE401,25/5/2026,PRESENT,face,0.9700,25/5/2026, 9:04:48 am
455,"Chirag Sharma",CE2023064,"student64@local.com","Civil Engineering","Environmental Engineering",CE401,25/5/2026,PRESENT,face,0.9830,25/5/2026, 9:01:58 am
456,"Charvi Sharma",CE2023076,"student76@local.com","Civil Engineering","Environmental Engineering",CE401,22/5/2026,ABSENT,manual,N/A,22/5/2026, 11:04:34 am
457,"Radhika Sharma",IT2023097,"student97@local.com","Information Technology","Web Technologies",IT201,22/5/2026,PRESENT,face,0.7927,22/5/2026, 9:01:43 am
458,"Mira Sharma",IT2023093,"student93@local.com","Information Technology","Web Technologies",IT201,22/5/2026,PRESENT,face,0.8287,22/5/2026, 9:00:58 am
459,"Ved Sharma",IT2023089,"student89@local.com","Information Technology","Web Technologies",IT201,22/5/2026,PRESENT,face,0.9135,22/5/2026, 9:02:04 am
460,"Rishi Sharma",IT2023085,"student85@local.com","Information Technology","Web Technologies",IT201,22/5/2026,ABSENT,manual,N/A,22/5/2026, 9:04:32 am
461,"Manav Sharma",IT2023081,"student81@local.com","Information Technology","Web Technologies",IT201,22/5/2026,PRESENT,face,0.9653,22/5/2026, 9:00:38 am
462,"Tanya Sharma",IT2023099,"student99@local.com","Information Technology","Cloud Computing",IT302,22/5/2026,ABSENT,manual,N/A,22/5/2026, 11:04:15 am
463,"Simran Sharma",IT2023098,"student98@local.com","Information Technology","Cloud Computing",IT302,22/5/2026,PRESENT,face,0.8008,22/5/2026, 11:02:53 am
464,"Ojaswi Sharma",IT2023095,"student95@local.com","Information Technology","Cloud Computing",IT302,22/5/2026,PRESENT,face,0.8230,22/5/2026, 11:01:50 am
465,"Naina Sharma",IT2023094,"student94@local.com","Information Technology","Cloud Computing",IT302,22/5/2026,PRESENT,face,0.9660,22/5/2026, 11:04:12 am
466,"Khushi Sharma",IT2023091,"student91@local.com","Information Technology","Cloud Computing",IT302,22/5/2026,PRESENT,face,0.8241,22/5/2026, 11:02:56 am
467,"Zain Sharma",IT2023090,"student90@local.com","Information Technology","Cloud Computing",IT302,22/5/2026,PRESENT,face,0.8964,22/5/2026, 11:02:20 am
468,"Tejas Sharma",IT2023087,"student87@local.com","Information Technology","Cloud Computing",IT302,22/5/2026,PRESENT,face,0.9080,22/5/2026, 11:03:58 am
469,"Sahil Sharma",IT2023086,"student86@local.com","Information Technology","Cloud Computing",IT302,22/5/2026,PRESENT,face,0.9129,22/5/2026, 11:01:40 am
470,"Om Sharma",IT2023083,"student83@local.com","Information Technology","Cloud Computing",IT302,22/5/2026,PRESENT,face,0.9024,22/5/2026, 11:03:32 am
471,"Nakul Sharma",IT2023082,"student82@local.com","Information Technology","Cloud Computing",IT302,22/5/2026,PRESENT,face,0.9049,22/5/2026, 11:01:18 am
472,"Jiya Sharma",CE2023080,"student80@local.com","Civil Engineering","Environmental Engineering",CE401,22/5/2026,PRESENT,face,0.8785,22/5/2026, 11:01:57 am
473,"Sakshi Sharma",CE2023072,"student72@local.com","Civil Engineering","Environmental Engineering",CE401,22/5/2026,PRESENT,face,0.7935,22/5/2026, 11:00:15 am
474,"Laksh Sharma",CE2023068,"student68@local.com","Civil Engineering","Environmental Engineering",CE401,22/5/2026,PRESENT,face,0.9725,22/5/2026, 11:03:54 am
475,"Chirag Sharma",CE2023064,"student64@local.com","Civil Engineering","Environmental Engineering",CE401,22/5/2026,PRESENT,face,0.8163,22/5/2026, 11:02:11 am
476,"Riddhi Sharma",ME2023057,"student57@local.com","Mechanical Engineering","Engineering Mechanics",ME201,22/5/2026,PRESENT,face,0.7778,22/5/2026, 1:00:26 pm
477,"Neha Sharma",ME2023053,"student53@local.com","Mechanical Engineering","Engineering Mechanics",ME201,22/5/2026,PRESENT,face,0.9706,22/5/2026, 1:00:50 pm
478,"Rahul Sharma",ME2023049,"student49@local.com","Mechanical Engineering","Engineering Mechanics",ME201,22/5/2026,PRESENT,face,0.8332,22/5/2026, 1:01:42 pm
479,"Aryan Sharma",ME2023045,"student45@local.com","Mechanical Engineering","Engineering Mechanics",ME201,22/5/2026,PRESENT,face,0.7926,22/5/2026, 1:04:15 pm
480,"Rohan Sharma",ME2023041,"student41@local.com","Mechanical Engineering","Engineering Mechanics",ME201,22/5/2026,PRESENT,face,0.8057,22/5/2026, 1:00:42 pm
481,"Nikhil Sharma",ME2023048,"student48@local.com","Mechanical Engineering","Machine Design",ME401,21/5/2026,PRESENT,face,0.9072,21/5/2026, 1:00:24 pm
482,"Tara Sharma",ME2023060,"student60@local.com","Mechanical Engineering","Machine Design",ME401,21/5/2026,PRESENT,face,0.9736,21/5/2026, 1:01:38 pm
483,"Pooja Sharma",ME2023052,"student52@local.com","Mechanical Engineering","Machine Design",ME401,21/5/2026,PRESENT,face,0.9489,21/5/2026, 1:03:19 pm
484,"Tanvi Sharma",ME2023056,"student56@local.com","Mechanical Engineering","Machine Design",ME401,21/5/2026,PRESENT,face,0.7856,21/5/2026, 1:02:59 pm
485,"Darsh Sharma",CE2023065,"student65@local.com","Civil Engineering","Structural Analysis",CE201,21/5/2026,PRESENT,face,0.7762,21/5/2026, 11:03:43 am
486,"Harsh Sharma",CE2023061,"student61@local.com","Civil Engineering","Structural Analysis",CE201,21/5/2026,PRESENT,face,0.8157,21/5/2026, 11:01:33 am
487,"Rudra Sharma",CE2023069,"student69@local.com","Civil Engineering","Structural Analysis",CE201,21/5/2026,LATE,face,0.8135,21/5/2026, 11:23:14 am
488,"Trisha Sharma",CE2023073,"student73@local.com","Civil Engineering","Structural Analysis",CE201,21/5/2026,PRESENT,face,0.7845,21/5/2026, 11:00:28 am
489,"Divya Sharma",CE2023077,"student77@local.com","Civil Engineering","Structural Analysis",CE201,21/5/2026,PRESENT,face,0.7934,21/5/2026, 11:02:11 am
490,"Dev Sharma",ME2023044,"student44@local.com","Mechanical Engineering","Machine Design",ME401,21/5/2026,PRESENT,face,0.8022,21/5/2026, 1:00:10 pm
491,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,20/5/2026,ABSENT,manual,N/A,20/5/2026, 12:00:22 pm
492,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,20/5/2026,PRESENT,face,0.8457,20/5/2026, 12:02:57 pm
493,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,20/5/2026,PRESENT,face,0.7723,20/5/2026, 12:03:23 pm
494,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,20/5/2026,PRESENT,face,0.8411,20/5/2026, 12:02:47 pm
495,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,20/5/2026,ABSENT,manual,N/A,20/5/2026, 12:04:15 pm
496,"Riddhi Sharma",ME2023057,"student57@local.com","Mechanical Engineering","Engineering Mechanics",ME201,20/5/2026,PRESENT,face,0.9424,20/5/2026, 10:04:00 am
497,"Neha Sharma",ME2023053,"student53@local.com","Mechanical Engineering","Engineering Mechanics",ME201,20/5/2026,PRESENT,face,0.9320,20/5/2026, 10:00:53 am
498,"Rahul Sharma",ME2023049,"student49@local.com","Mechanical Engineering","Engineering Mechanics",ME201,20/5/2026,PRESENT,face,0.7508,20/5/2026, 10:03:14 am
499,"Aryan Sharma",ME2023045,"student45@local.com","Mechanical Engineering","Engineering Mechanics",ME201,20/5/2026,ABSENT,manual,N/A,20/5/2026, 10:00:50 am
500,"Rohan Sharma",ME2023041,"student41@local.com","Mechanical Engineering","Engineering Mechanics",ME201,20/5/2026,ABSENT,manual,N/A,20/5/2026, 10:01:11 am
501,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/5/2026,LATE,face,0.9011,19/5/2026, 2:24:53 pm
502,"Jiya Sharma",CE2023080,"student80@local.com","Civil Engineering","Environmental Engineering",CE401,19/5/2026,PRESENT,face,0.8573,19/5/2026, 12:02:52 pm
503,"Charvi Sharma",CE2023076,"student76@local.com","Civil Engineering","Environmental Engineering",CE401,19/5/2026,PRESENT,face,0.8456,19/5/2026, 12:02:28 pm
504,"Sakshi Sharma",CE2023072,"student72@local.com","Civil Engineering","Environmental Engineering",CE401,19/5/2026,LATE,face,0.8047,19/5/2026, 12:21:11 pm
505,"Laksh Sharma",CE2023068,"student68@local.com","Civil Engineering","Environmental Engineering",CE401,19/5/2026,ABSENT,manual,N/A,19/5/2026, 12:02:58 pm
506,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/5/2026,PRESENT,face,0.8617,19/5/2026, 2:00:17 pm
