S.No.,Student Name,Roll Number,Email,Department,Subject,Subject Code,Date,Status,Verification Method,Face Confidence,Marked At
158,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/5/2026,LATE,face,0.7849,27/5/2026, 12:18:43 pm
159,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/5/2026,PRESENT,face,0.9192,27/5/2026, 12:03:44 pm
160,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/5/2026,PRESENT,face,0.8707,27/5/2026, 12:02:44 pm
161,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/5/2026,PRESENT,face,0.7508,26/5/2026, 10:02:02 am
162,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/5/2026,LATE,face,0.8123,26/5/2026, 10:17:45 am
163,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/5/2026,PRESENT,face,0.8922,26/5/2026, 10:02:29 am
164,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/5/2026,PRESENT,face,0.9146,26/5/2026, 10:01:29 am
165,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,26/5/2026,PRESENT,face,0.7554,26/5/2026, 10:01:59 am
166,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,20/5/2026,PRESENT,face,0.7723,20/5/2026, 12:03:23 pm
167,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,20/5/2026,ABSENT,manual,N/A,20/5/2026, 12:00:22 pm
168,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,20/5/2026,ABSENT,manual,N/A,20/5/2026, 12:04:15 pm
169,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,20/5/2026,PRESENT,face,0.8411,20/5/2026, 12:02:47 pm
170,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,20/5/2026,PRESENT,face,0.8457,20/5/2026, 12:02:57 pm
171,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/5/2026,LATE,face,0.9011,19/5/2026, 2:24:53 pm
172,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/5/2026,PRESENT,face,0.8617,19/5/2026, 2:00:17 pm
173,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/5/2026,LATE,face,0.8781,19/5/2026, 2:17:35 pm
174,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/5/2026,PRESENT,face,0.9825,19/5/2026, 2:01:41 pm
175,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,19/5/2026,PRESENT,face,0.8001,19/5/2026, 2:02:34 pm
176,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/5/2026,PRESENT,face,0.8771,18/5/2026, 10:03:22 am
177,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,18/5/2026,PRESENT,face,0.8024,18/5/2026, 12:03:49 pm
178,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/5/2026,PRESENT,face,0.8383,18/5/2026, 10:02:01 am
179,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,18/5/2026,ABSENT,manual,N/A,18/5/2026, 12:04:13 pm
180,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,18/5/2026,PRESENT,face,0.9313,18/5/2026, 12:04:06 pm
181,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/5/2026,PRESENT,face,0.9246,18/5/2026, 10:04:28 am
182,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,18/5/2026,PRESENT,face,0.8536,18/5/2026, 12:02:41 pm
183,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,18/5/2026,PRESENT,face,0.9259,18/5/2026, 12:00:50 pm
184,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,18/5/2026,PRESENT,face,0.7789,18/5/2026, 12:02:38 pm
185,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,18/5/2026,ABSENT,manual,N/A,18/5/2026, 12:04:14 pm
186,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,18/5/2026,PRESENT,face,0.8106,18/5/2026, 12:00:11 pm
187,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/5/2026,PRESENT,face,0.7652,18/5/2026, 10:03:56 am
188,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,18/5/2026,LATE,face,0.8341,18/5/2026, 12:16:53 pm
189,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,18/5/2026,LATE,face,0.8456,18/5/2026, 12:24:09 pm
190,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,18/5/2026,LATE,face,0.7963,18/5/2026, 10:15:40 am
191,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/5/2026,PRESENT,face,0.7885,15/5/2026, 12:03:21 pm
192,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/5/2026,PRESENT,face,0.9575,15/5/2026, 12:02:47 pm
193,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/5/2026,PRESENT,face,0.8426,15/5/2026, 12:00:16 pm
194,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/5/2026,ABSENT,manual,N/A,15/5/2026, 12:00:01 pm
195,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,15/5/2026,PRESENT,face,0.9284,15/5/2026, 12:01:48 pm
196,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/5/2026,PRESENT,face,0.9082,14/5/2026, 1:01:29 pm
197,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/5/2026,PRESENT,face,0.8184,14/5/2026, 12:03:59 pm
198,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/5/2026,ABSENT,manual,N/A,14/5/2026, 12:03:23 pm
199,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/5/2026,PRESENT,face,0.7580,14/5/2026, 12:01:22 pm
200,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/5/2026,PRESENT,face,0.9807,14/5/2026, 1:00:52 pm
201,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/5/2026,ABSENT,manual,N/A,14/5/2026, 1:04:13 pm
202,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/5/2026,PRESENT,face,0.9788,14/5/2026, 12:03:16 pm
203,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/5/2026,PRESENT,face,0.9664,14/5/2026, 12:04:27 pm
204,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/5/2026,PRESENT,face,0.8114,14/5/2026, 1:00:44 pm
205,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/5/2026,PRESENT,face,0.8235,14/5/2026, 12:01:05 pm
206,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/5/2026,ABSENT,manual,N/A,14/5/2026, 12:01:19 pm
207,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/5/2026,ABSENT,manual,N/A,14/5/2026, 12:01:09 pm
208,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/5/2026,ABSENT,manual,N/A,14/5/2026, 12:03:35 pm
209,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,14/5/2026,PRESENT,face,0.7836,14/5/2026, 12:02:09 pm
210,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,14/5/2026,PRESENT,face,0.8343,14/5/2026, 1:02:51 pm
211,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,13/5/2026,ABSENT,manual,N/A,13/5/2026, 10:03:55 am
212,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,13/5/2026,PRESENT,face,0.7804,13/5/2026, 10:00:55 am
213,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,13/5/2026,PRESENT,face,0.8223,13/5/2026, 10:00:24 am
214,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,13/5/2026,PRESENT,face,0.8565,13/5/2026, 10:01:26 am
215,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,13/5/2026,PRESENT,face,0.8556,13/5/2026, 10:03:21 am
216,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,8/5/2026,ABSENT,manual,N/A,8/5/2026, 10:02:57 am
217,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,8/5/2026,PRESENT,face,0.8105,8/5/2026, 1:02:24 pm
218,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,8/5/2026,PRESENT,face,0.8108,8/5/2026, 10:01:43 am
219,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,8/5/2026,PRESENT,face,0.8411,8/5/2026, 1:02:07 pm
220,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,8/5/2026,PRESENT,face,0.7760,8/5/2026, 1:01:54 pm
221,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,8/5/2026,PRESENT,face,0.9874,8/5/2026, 1:00:07 pm
222,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,8/5/2026,PRESENT,face,0.9797,8/5/2026, 10:04:29 am
223,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,8/5/2026,PRESENT,face,0.7934,8/5/2026, 1:03:39 pm
224,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,8/5/2026,PRESENT,face,0.7733,8/5/2026, 1:02:21 pm
225,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,8/5/2026,PRESENT,face,0.9880,8/5/2026, 10:02:34 am
226,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,8/5/2026,PRESENT,face,0.8092,8/5/2026, 1:05:00 pm
227,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,8/5/2026,PRESENT,face,0.9834,8/5/2026, 1:05:00 pm
228,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,8/5/2026,LATE,face,0.9279,8/5/2026, 10:23:37 am
229,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,8/5/2026,ABSENT,manual,N/A,8/5/2026, 1:01:09 pm
230,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,8/5/2026,PRESENT,face,0.9794,8/5/2026, 1:03:09 pm
231,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,7/5/2026,LATE,face,0.8577,7/5/2026, 2:16:37 pm
232,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,7/5/2026,PRESENT,face,0.8752,7/5/2026, 2:01:27 pm
233,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,7/5/2026,PRESENT,face,0.7641,7/5/2026, 2:01:40 pm
234,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,7/5/2026,PRESENT,face,0.9772,7/5/2026, 2:03:31 pm
235,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,7/5/2026,ABSENT,manual,N/A,7/5/2026, 2:03:41 pm
236,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,6/5/2026,PRESENT,face,0.8739,6/5/2026, 9:03:16 am
237,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,6/5/2026,PRESENT,face,0.8987,6/5/2026, 9:03:20 am
238,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,6/5/2026,PRESENT,face,0.8834,6/5/2026, 9:00:08 am
239,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,6/5/2026,PRESENT,face,0.7685,6/5/2026, 9:01:40 am
240,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,6/5/2026,ABSENT,manual,N/A,6/5/2026, 9:00:03 am
241,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,6/5/2026,PRESENT,face,0.8848,6/5/2026, 9:03:57 am
242,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,6/5/2026,LATE,face,0.8663,6/5/2026, 9:16:33 am
243,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,6/5/2026,PRESENT,face,0.8490,6/5/2026, 9:02:35 am
244,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,6/5/2026,PRESENT,face,0.9402,6/5/2026, 9:02:37 am
245,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,6/5/2026,PRESENT,face,0.8746,6/5/2026, 9:03:36 am
246,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,5/5/2026,PRESENT,face,0.8111,5/5/2026, 1:04:31 pm
247,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,5/5/2026,ABSENT,manual,N/A,5/5/2026, 1:01:15 pm
248,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,5/5/2026,ABSENT,manual,N/A,5/5/2026, 1:03:05 pm
249,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,5/5/2026,PRESENT,face,0.8041,5/5/2026, 1:00:17 pm
250,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,5/5/2026,PRESENT,face,0.8644,5/5/2026, 1:01:36 pm
251,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,5/5/2026,PRESENT,face,0.7961,5/5/2026, 1:03:39 pm
252,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,5/5/2026,PRESENT,face,0.9346,5/5/2026, 1:04:26 pm
253,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,5/5/2026,ABSENT,manual,N/A,5/5/2026, 1:04:06 pm
254,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,5/5/2026,PRESENT,face,0.9064,5/5/2026, 1:01:58 pm
255,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,5/5/2026,PRESENT,face,0.9142,5/5/2026, 1:03:59 pm
256,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,4/5/2026,PRESENT,face,0.8379,4/5/2026, 10:03:17 am
257,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,4/5/2026,PRESENT,face,0.7613,4/5/2026, 10:03:51 am
258,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,4/5/2026,PRESENT,face,0.8978,4/5/2026, 10:03:38 am
259,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,4/5/2026,PRESENT,face,0.7772,4/5/2026, 10:02:19 am
260,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,4/5/2026,PRESENT,face,0.7795,4/5/2026, 10:03:51 am
261,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,30/4/2026,ABSENT,manual,N/A,30/4/2026, 10:04:13 am
262,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,30/4/2026,PRESENT,face,0.8285,30/4/2026, 10:00:34 am
263,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,30/4/2026,PRESENT,face,0.7919,30/4/2026, 10:02:01 am
264,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,30/4/2026,ABSENT,manual,N/A,30/4/2026, 10:01:20 am
265,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,30/4/2026,LATE,face,0.9725,30/4/2026, 10:22:44 am
266,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,29/4/2026,PRESENT,face,0.8470,29/4/2026, 2:03:03 pm
267,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,29/4/2026,PRESENT,face,0.8407,29/4/2026, 2:04:15 pm
268,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,29/4/2026,PRESENT,face,0.7847,29/4/2026, 2:04:44 pm
269,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,29/4/2026,PRESENT,face,0.7888,29/4/2026, 2:02:25 pm
270,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,29/4/2026,PRESENT,face,0.9170,29/4/2026, 2:01:33 pm
271,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/4/2026,PRESENT,face,0.8744,28/4/2026, 12:04:18 pm
272,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/4/2026,PRESENT,face,0.9776,28/4/2026, 12:03:42 pm
273,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/4/2026,PRESENT,face,0.9491,28/4/2026, 12:00:03 pm
274,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/4/2026,PRESENT,face,0.9413,28/4/2026, 12:04:08 pm
275,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/4/2026,PRESENT,face,0.8824,28/4/2026, 12:01:43 pm
276,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/4/2026,PRESENT,face,0.7797,28/4/2026, 12:00:38 pm
277,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/4/2026,PRESENT,face,0.8033,28/4/2026, 12:04:29 pm
278,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/4/2026,PRESENT,face,0.8486,28/4/2026, 12:04:32 pm
279,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/4/2026,ABSENT,manual,N/A,28/4/2026, 12:01:39 pm
280,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Operating Systems",CSE302,28/4/2026,PRESENT,face,0.9379,28/4/2026, 12:04:27 pm
281,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/4/2026,PRESENT,face,0.8461,27/4/2026, 1:00:46 pm
282,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/4/2026,ABSENT,manual,N/A,27/4/2026, 1:03:34 pm
283,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/4/2026,LATE,face,0.8161,27/4/2026, 1:22:28 pm
284,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/4/2026,LATE,face,0.9184,27/4/2026, 1:21:46 pm
285,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,27/4/2026,PRESENT,face,0.8911,27/4/2026, 1:03:17 pm
286,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,23/4/2026,PRESENT,face,0.8037,23/4/2026, 9:01:10 am
287,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,23/4/2026,PRESENT,face,0.9743,23/4/2026, 9:00:31 am
288,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,23/4/2026,PRESENT,face,0.9256,23/4/2026, 9:04:23 am
289,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,23/4/2026,PRESENT,face,0.9490,23/4/2026, 9:00:25 am
290,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,23/4/2026,PRESENT,face,0.8798,23/4/2026, 9:00:15 am
291,"Aarush Sharma",CSE2023016,"student16@local.com","Computer Science & Engineering","Computer Networks",CSE401,21/4/2026,PRESENT,face,0.8164,21/4/2026, 1:00:24 pm
292,"Vihaan Sharma",CSE2023004,"student4@local.com","Computer Science & Engineering","Computer Networks",CSE401,21/4/2026,PRESENT,face,0.8130,21/4/2026, 1:03:20 pm
293,"Ayaan Sharma",CSE2023008,"student8@local.com","Computer Science & Engineering","Computer Networks",CSE401,21/4/2026,PRESENT,face,0.9818,21/4/2026, 1:03:57 pm
294,"Atharv Sharma",CSE2023012,"student12@local.com","Computer Science & Engineering","Computer Networks",CSE401,21/4/2026,LATE,face,0.9080,21/4/2026, 1:19:29 pm
295,"Dhruv Sharma",CSE2023020,"student20@local.com","Computer Science & Engineering","Computer Networks",CSE401,21/4/2026,ABSENT,manual,N/A,21/4/2026, 1:03:48 pm
296,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,20/4/2026,PRESENT,face,0.9333,20/4/2026, 12:01:41 pm
297,"Advaith Sharma",CSE2023015,"student15@local.com","Computer Science & Engineering","Database Management Systems",CSE301,20/4/2026,PRESENT,face,0.7664,20/4/2026, 12:04:54 pm
298,"Reyansh Sharma",CSE2023007,"student7@local.com","Computer Science & Engineering","Database Management Systems",CSE301,20/4/2026,PRESENT,face,0.9451,20/4/2026, 12:03:54 pm
299,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,20/4/2026,PRESENT,face,0.9611,20/4/2026, 12:04:11 pm
300,"Ritvik Sharma",CSE2023018,"student18@local.com","Computer Science & Engineering","Database Management Systems",CSE301,20/4/2026,PRESENT,face,0.8201,20/4/2026, 12:00:31 pm
301,"Sai Sharma",CSE2023006,"student6@local.com","Computer Science & Engineering","Database Management Systems",CSE301,20/4/2026,PRESENT,face,0.9705,20/4/2026, 12:03:21 pm
302,"Aditya Sharma",CSE2023003,"student3@local.com","Computer Science & Engineering","Database Management Systems",CSE301,20/4/2026,LATE,face,0.8164,20/4/2026, 12:20:22 pm
303,"Anirudh Sharma",CSE2023019,"student19@local.com","Computer Science & Engineering","Database Management Systems",CSE301,20/4/2026,PRESENT,face,0.8573,20/4/2026, 12:02:04 pm
304,"Vivaan Sharma",CSE2023002,"student2@local.com","Computer Science & Engineering","Database Management Systems",CSE301,20/4/2026,PRESENT,face,0.7948,20/4/2026, 12:04:25 pm
305,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,20/4/2026,PRESENT,face,0.9809,20/4/2026, 12:01:56 pm
306,"Arjun Sharma",CSE2023005,"student5@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,17/4/2026,LATE,face,0.8457,17/4/2026, 12:20:16 pm
307,"Aarav Sharma",CSE2023001,"student@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,17/4/2026,PRESENT,face,0.8757,17/4/2026, 12:00:08 pm
308,"Krishna Sharma",CSE2023009,"student9@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,17/4/2026,PRESENT,face,0.9541,17/4/2026, 12:02:24 pm
309,"Advik Sharma",CSE2023013,"student13@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,17/4/2026,LATE,face,0.8734,17/4/2026, 12:19:55 pm
310,"Kabir Sharma",CSE2023017,"student17@local.com","Computer Science & Engineering","Data Structures & Algorithms",CSE201,17/4/2026,ABSENT,manual,N/A,17/4/2026, 12:01:14 pm
311,"Shaurya Sharma",CSE2023011,"student11@local.com","Computer Science & Engineering","Database Management Systems",CSE301,16/4/2026,PRESENT,face,0.8723,16/4/2026, 1:04:53 pm
312,"Ishaan Sharma",CSE2023010,"student10@local.com","Computer Science & Engineering","Database Management Systems",CSE301,16/4/2026,PRESENT,face,0.7643,16/4/2026, 1:02:52 pm
313,"Pranav Sharma",CSE2023014,"student14@local.com","Computer Science & Engineering","Database Management Systems",CSE301,16/4/2026,PRESENT,face,0.7759,16/4/2026, 1:01:34 pm
